Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
1040,60.2120,55.6354,41.5166,9,0.2028,1.0000,0.8152,0.8152,1.064324,-0.008644,0.248020
1050,60.2368,55.3473,45.0171,10,0.1299,1.0000,0.7733,0.7733,1.094614,-0.002098,0.133797
1060,60.1408,55.3777,42.1488,10,0.0682,1.0000,0.8126,0.8126,0.695470,-0.000388,0.112129
1070,60.6609,54.9834,48.9407,10,0.1512,1.0000,0.7972,0.7972,1.322252,-0.018881,0.217408
1080,60.6382,55.8625,49.1039,10,0.1512,1.0000,0.8250,0.8250,1.196740,-0.004686,0.109148
1090,60.8300,56.9099,48.5266,10,0.0888,1.0000,0.7925,0.7925,1.450871,0.004492,0.082580
1100,60.8529,57.2747,45.9453,10,0.1471,1.0000,0.7945,0.7945,3.805451,0.001593,0.120004
1110,60.4788,57.2640,44.0578,10,0.0931,1.0000,0.7905,0.7905,1.482802,0.005074,0.089170
1120,60.3416,57.6095,53.5581,10,0.1095,1.0000,0.8213,0.8213,0.865170,-0.001766,0.073891
1130,60.6329,56.8065,48.9038,10,0.1263,1.0000,0.7575,0.7575,1.689031,-0.002840,0.096820
1140,60.2407,56.0517,44.2975,9,0.1278,1.0000,0.7960,0.7960,1.741231,-0.003638,0.098890
1150,60.8973,55.8767,43.7790,10,0.1237,1.0000,0.8125,0.8125,1.028507,0.010710,0.186036
1160,61.4642,56.4246,50.7918,10,0.0962,1.0000,0.8942,0.8942,0.568286,-0.006905,0.095883
1170,61.1549,56.8930,50.6022,10,0.0864,1.0000,0.8896,0.8896,0.688061,0.010189,0.081455
1180,60.7645,56.8014,45.1069,9,0.0494,1.0000,0.8459,0.8459,1.112980,0.002388,0.074387
1190,60.1186,56.4937,39.6239,9,0.0442,1.0000,0.8994,0.8994,0.845323,0.008159,0.037920
1200,59.1602,55.4646,34.3070,10,0.1243,1.0000,0.9031,0.9031,0.000000,0.000000,0.000000
1210,58.9632,53.6622,47.1928,10,0.1595,1.0000,0.8615,0.8615,0.000000,0.000000,0.000000
1220,58.6656,53.0469,40.8103,10,0.0818,1.0000,0.8246,0.8246,0.000000,0.000000,0.000000
1230,58.6757,52.6376,41.5173,10,0.0565,1.0000,0.9130,0.9130,0.000000,0.000000,0.000000
1240,59.8040,52.6188,46.4071,10,0.1605,1.0000,0.8538,0.8538,0.000000,0.000000,0.000000
1250,60.5559,53.5468,45.9157,10,0.0749,1.0000,0.8371,0.8371,0.000000,0.000000,0.000000
1260,60.6343,54.8672,50.7040,10,0.1350,1.0000,0.8728,0.8728,0.000000,0.000000,0.000000
1270,60.8013,55.1004,43.7648,10,0.2030,1.0000,0.8815,0.8815,1.149993,0.007017,0.243488
1280,60.5441,55.7588,33.5781,8,0.0407,1.0000,0.8719,0.8719,3.171805,-0.000425,0.076831
1290,60.4407,55.3584,47.5597,10,0.1340,1.0000,0.8384,0.8384,1.036408,0.000400,0.202171
1300,60.2361,55.0505,51.2044,10,0.1082,1.0000,0.8823,0.8823,1.085507,0.006090,0.125746
1310,60.2152,54.6459,48.5168,10,0.1061,1.0000,0.8006,0.8006,1.558710,0.004248,0.144709
1320,60.3835,54.3401,47.0618,10,0.1297,1.0000,0.8626,0.8626,0.415547,0.017210,0.132739
1330,60.6587,53.9746,40.9574,9,0.0829,1.0000,0.7970,0.7970,0.593586,-0.003318,0.097472
1340,60.5024,54.7018,38.2086,10,0.2171,1.0000,0.8639,0.8639,0.859460,-0.016443,0.180058
1350,60.3074,54.6542,46.2982,10,0.1158,1.0000,0.8390,0.8390,1.089050,0.001244,0.122330
1360,60.5010,55.0080,51.0987,10,0.0531,1.0000,0.8948,0.8948,0.614808,0.000027,0.060968
1370,60.2810,55.1908,41.5271,9,0.2326,1.0000,0.7499,0.7499,1.788983,0.003114,0.172754
1380,59.7533,54.5616,47.5440,10,0.0796,1.0000,0.8785,0.8785,0.000000,0.000000,0.000000
1390,59.3498,54.0905,18.7569,9,0.0492,1.0000,0.8519,0.8519,7.526944,0.003021,0.110989
1400,58.4042,54.6543,36.5855,9,0.1565,1.0000,0.8535,0.8535,1.063597,-0.006743,0.096105
1410,57.5061,53.8278,43.7842,9,0.1895,1.0000,0.9033,0.9033,1.106540,-0.005767,0.142918
